name,lon,lat
aberporth,-4.57,52.139
armagh,-6.649,54.352
ballypatrick,-6.153,55.181
bradford,-1.772,53.813
braemar,-3.396,57.011
camborne,-5.327,50.218
cambridge,0.102,52.245
cardiff,-3.187,51.488
chivenor,-4.147,51.089
cwmystwyth,-3.802,52.358
dunstaffnage,-5.439,56.451
durham,-1.585,54.768
eastbourne,0.285,50.759
eskdalemuir,-3.205,55.312
heathrow,-0.449,51.479
hurn,-1.835,50.779
lerwick,-1.183,60.139
leuchars,-2.861,56.377
lowestoft,1.727,52.483
manston,1.337,51.346
nairn druim,-3.821,57.593
newtonrigg,-2.786,54.67
oxford,-1.262,51.761
paisley,-4.43,55.846
ringway,-2.279,53.356
rossonwye,-2.584,51.911
shawbury,-2.663,52.794
sheffield,-1.49,53.381
southampton,-1.408,50.898
stornoway,-6.318,58.214
suttonbonington,-1.25,52.836
tiree,-6.88,56.5
valley,-4.535,53.252
waddington,-0.522,53.175
whitby,-0.624,54.481
wickairport,-3.088,58.454
yeovilton,-2.641,51.006
