"","hr","is.cover90.hd","is.cover95.hd","is.cover90.hd","is.cover95.hd","is.cover90.hd","is.cover95.hd","is.cover90.hd","is.cover95.hd","is.cover90.hd.1","is.cover95.hd.1","is.cover90.hd.2","is.cover95.hd.2"
"2","GCV",0.89,0.945,0.855,0.935,0.8125,0.9225,0.915,0.9675,0.86,0.9425,0.87,0.9475
"3","0.05",0.9975,1,1,1,1,1,0.9975,1,1,1,1,1
"4","0.1",0.945,0.985,0.9575,0.9925,0.98,0.995,0.9575,0.9875,0.985,1,0.9875,0.9975
"5","0.15",0.935,0.985,0.96,0.9825,0.965,0.99,0.9375,0.98,0.965,0.9925,0.985,1
"6","0.2",0.91,0.9725,0.9375,0.9775,0.935,0.98,0.92,0.965,0.9525,0.98,0.9625,0.9925
"7","0.25",0.8925,0.9675,0.9225,0.98,0.9025,0.97,0.89,0.965,0.9425,0.98,0.94,0.98
"8","0.3",0.9125,0.9575,0.9225,0.9725,0.8975,0.96,0.88,0.9675,0.94,0.9775,0.915,0.9625
"9","0.35",0.895,0.96,0.92,0.9725,0.8875,0.955,0.8775,0.9425,0.9225,0.975,0.8925,0.95
"10","GCV",0.8425,0.93,0.8775,0.96,0.8825,0.9575,0.87,0.9475,0.915,0.97,0.9125,0.96
"11","0.05",0.26,0.4275,0.265,0.4625,0.2175,0.455,0.315,0.5225,0.2775,0.5175,0.28,0.4825
"12","0.1",0.795,0.89,0.8225,0.91,0.85,0.9575,0.8275,0.91,0.8575,0.93,0.8725,0.95
"13","0.15",0.8875,0.9475,0.92,0.98,0.9475,0.9825,0.89,0.935,0.935,0.98,0.9375,0.9775
"14","0.2",0.875,0.955,0.895,0.9725,0.905,0.9725,0.8975,0.955,0.925,0.9775,0.93,0.98
"15","0.25",0.8575,0.945,0.8925,0.9775,0.89,0.96,0.8875,0.955,0.9175,0.975,0.9225,0.975
"16","0.3",0.8475,0.925,0.89,0.955,0.875,0.9475,0.8825,0.945,0.895,0.96,0.9025,0.965
"17","0.35",0.845,0.925,0.88,0.9525,0.8675,0.93,0.88,0.95,0.8925,0.955,0.8925,0.955
"18","GCV",0.88,0.95,0.8775,0.95,0.895,0.9525,0.8725,0.9425,0.885,0.9525,0.93,0.97
"19","0.05",0.4875,0.6825,0.2425,0.44,0.1525,0.34,0.2375,0.4425,0.2,0.39,0.225,0.44
"20","0.1",0.935,0.975,0.9,0.975,0.8625,0.95,0.83,0.925,0.865,0.955,0.9025,0.965
"21","0.15",0.9025,0.9575,0.91,0.9725,0.9175,0.965,0.89,0.9525,0.9125,0.985,0.94,0.98
"22","0.2",0.87,0.945,0.875,0.9625,0.9125,0.97,0.88,0.945,0.905,0.9775,0.925,0.97
"23","0.25",0.855,0.93,0.85,0.95,0.9,0.97,0.8675,0.9375,0.89,0.955,0.9075,0.96
"24","0.3",0.8775,0.9325,0.8475,0.9275,0.89,0.9575,0.865,0.9375,0.88,0.955,0.8975,0.955
"25","0.35",0.86,0.925,0.845,0.93,0.895,0.955,0.865,0.9375,0.8975,0.9575,0.895,0.95
